x,y,species cloglog values
1.0,1.0,0.0024483784
2.0,2.0,0.12218579
3.0,3.0,0.0027910077
4.0,4.0,0.015381909
5.0,5.0,0.041737724
6.0,6.0,0.010369497
7.0,7.0,0.0042752824
8.0,8.0,0.7237068
9.0,9.0,0.0018896649
10.0,10.0,0.003081883
11.0,11.0,0.08676915
12.0,12.0,0.6820168
13.0,13.0,0.41892198
14.0,14.0,0.7013199
15.0,15.0,0.28420466
16.0,16.0,0.22230999
17.0,17.0,0.61049235
18.0,18.0,0.6707143
19.0,19.0,0.002093314
20.0,20.0,0.016623793
21.0,21.0,0.0016522914
22.0,22.0,0.00114195
23.0,23.0,0.06286972
24.0,24.0,0.6910336
25.0,25.0,0.16763835
26.0,26.0,0.070039354
27.0,27.0,0.0018610032
28.0,28.0,0.001158085
29.0,29.0,0.035769496
30.0,30.0,0.009197295
31.0,31.0,0.02049383
32.0,32.0,0.0028676593
33.0,33.0,0.0019884221
34.0,34.0,0.49336463
35.0,35.0,0.6798851
36.0,36.0,0.32727802
37.0,37.0,0.0029600312
38.0,38.0,0.46057177
39.0,39.0,0.603006
40.0,40.0,0.0071292934
41.0,41.0,0.004453364
42.0,42.0,0.0019619178
43.0,43.0,0.019731339
44.0,44.0,0.57943076
45.0,45.0,0.005202295
46.0,46.0,0.06598126
47.0,47.0,0.0112142125
48.0,48.0,0.16979112
49.0,49.0,0.6873427
50.0,50.0,0.030963952
51.0,51.0,0.0015188361
52.0,52.0,0.17223737
53.0,53.0,0.7152509
54.0,54.0,0.07073703
55.0,55.0,0.62793845
56.0,56.0,0.023148844
57.0,57.0,0.702527
58.0,58.0,0.22453333
59.0,59.0,0.10379141
60.0,60.0,0.01378562
61.0,61.0,0.25997394
62.0,62.0,0.65501523
63.0,63.0,0.0030512018
64.0,64.0,0.0017197385
65.0,65.0,0.0012803004
66.0,66.0,0.00497953
67.0,67.0,0.26936054
68.0,68.0,0.42738855
69.0,69.0,0.007499544
70.0,70.0,0.0016190301
71.0,71.0,0.0019327434
72.0,72.0,0.20360614
73.0,73.0,0.019215528
74.0,74.0,0.24763347
75.0,75.0,0.0016770685
76.0,76.0,0.00401067
77.0,77.0,0.572592
78.0,78.0,0.003026891
79.0,79.0,0.002526758
80.0,80.0,0.17149962
81.0,81.0,8.0935797E-4
82.0,82.0,0.47005248
83.0,83.0,0.0012404604
84.0,84.0,0.005582517
85.0,85.0,0.0013649035
86.0,86.0,0.18718135
87.0,87.0,0.68358314
88.0,88.0,0.028942533
89.0,89.0,0.3646662
90.0,90.0,0.0021218793
91.0,91.0,0.10263253
92.0,92.0,0.05018306
93.0,93.0,0.0016163094
94.0,94.0,0.6209014
95.0,95.0,0.0015704569
96.0,96.0,0.005344488
97.0,97.0,0.6575469
98.0,98.0,0.0022410033
99.0,99.0,0.0025902388
100.0,100.0,0.07297111
101.0,101.0,0.00254524
102.0,102.0,0.31007695
103.0,103.0,0.67731714
104.0,104.0,0.039678548
105.0,105.0,0.0014645924
106.0,106.0,0.006374772
107.0,107.0,0.44025972
108.0,108.0,0.002536829
109.0,109.0,0.23341626
110.0,110.0,0.45937032
111.0,111.0,0.14296646
112.0,112.0,0.0155680645
113.0,113.0,0.003507483
114.0,114.0,0.4249075
115.0,115.0,0.47853264
116.0,116.0,0.0012531542
117.0,117.0,0.008771702
118.0,118.0,0.07522591
119.0,119.0,0.32875162
120.0,120.0,0.024433691
121.0,121.0,0.65546906
122.0,122.0,0.0016329396
123.0,123.0,0.0025522746
124.0,124.0,0.30174923
125.0,125.0,0.0032552085
126.0,126.0,0.44316632
127.0,127.0,0.0037422068
128.0,128.0,0.22085674
129.0,129.0,0.57982385
130.0,130.0,0.034904923
131.0,131.0,0.32681286
132.0,132.0,0.0030334184
133.0,133.0,0.51393163
