Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.29043E-8,0.00000829,0.000197078,1,0,0
1.15776E-7,0.000019868,0.00027521,0.999693063,0,0
1.50508E-7,0.000034919,0.000357755,0.999386126,0,0
1.98934E-7,0.000054812,0.000472836,0.99907919,0,0
2.70304E-7,0.000108022,0.000642417,0.998465316,0,0
3.07199E-7,0.000254004,0.000730071,0.996930632,0,0
3.99592E-7,0.00053522,0.000949543,0.994475138,0,0
4.64506E-7,0.001015719,0.001103712,0.991098834,0,0
5.74506E-7,0.002501748,0.001364903,0.982504604,0,0
7.28824E-7,0.005013532,0.001731213,0.97053407,0,0
9.39618E-7,0.010092814,0.002231364,0.951810927,0,0
1.33649E-6,0.025093571,0.003172351,0.911295273,0,0
3.22723E-6,0.050091825,0.00764308,0.872007366,0,0
6.39013E-6,0.100234763,0.015077141,0.840392879,0,0
1.39327E-5,0.200095466,0.032581167,0.806936771,0,0
2.03527E-5,0.301465811,0.047234726,0.788827502,0,0
2.60685E-5,0.400835491,0.060094086,0.77562922,0.000997506,0
3.28954E-5,0.500818317,0.075225909,0.76519337,0.001995012,0
4.04425E-5,0.602363324,0.091670767,0.756599141,0.002493766,0
4.98427E-5,0.704805033,0.111745159,0.749539595,0.002992519,0
5.45682E-5,0.75211482,0.121668345,0.746777164,0.002992519,0
6.11328E-5,0.803555389,0.135269751,0.744014733,0.002992519,0
6.97771E-5,0.901202843,0.152859554,0.739410681,0.002992519,0
7.82692E-5,1.005396761,0.169791113,0.735113567,0.004488778,0
8.51731E-5,1.104543163,0.183306478,0.731430325,0.005486284,0
9.29123E-5,1.202094706,0.198195576,0.728054021,0.005985037,0
9.84441E-5,1.308155738,0.208671342,0.724677716,0.006982544,0
1.06173E-4,1.410263428,0.223079629,0.721608349,0.007481297,0
1.09776E-4,1.507875767,0.229704742,0.718845918,0.008977556,0
1.20631E-4,1.751510669,0.249330872,0.712400246,0.011471322,0
1.32079E-4,2.002768963,0.269485595,0.70626151,0.011471322,0
1.40641E-4,2.250392304,0.284204657,0.700736648,0.015461347,0
1.51137E-4,2.51196294,0.30184469,0.695211786,0.018453865,0
1.61471E-4,2.762272734,0.318788774,0.690300798,0.021446384,0
1.66846E-4,3.008457342,0.327437862,0.685696746,0.024438903,0
1.77798E-4,3.250359096,0.344723693,0.681399632,0.026433915,0
1.88939E-4,3.564627727,0.361852301,0.676181707,0.029426434,0
1.91693E-4,3.755425056,0.366016076,0.673112339,0.03042394,0
1.97732E-4,4.049223804,0.375054585,0.668508287,0.032917706,0
2.04887E-4,4.250165631,0.385594044,0.66543892,0.033915212,0
2.15392E-4,4.501917527,0.400748673,0.661755678,0.033915212,0
2.22302E-4,4.765682726,0.410513112,0.658072437,0.036907731,0
2.2779E-4,5.013372128,0.418154735,0.654696133,0.037406484,0
2.31656E-4,5.266264036,0.423477936,0.651319828,0.038902743,0
2.41978E-4,5.502536544,0.437453404,0.64825046,0.040897756,0
2.48279E-4,5.823393113,0.445817514,0.644260282,0.044389027,0
2.54735E-4,6.025408565,0.454258791,0.641804788,0.04638404,0
2.59348E-4,6.25702004,0.460210339,0.639042357,0.047880299,0
2.59777E-4,6.516510321,0.460761624,0.63597299,0.051870324,0
2.62987E-4,6.75213358,0.46486028,0.633210559,0.055361596,0
2.71581E-4,7.019301491,0.475683554,0.630141191,0.058354115,0
2.76404E-4,7.265889242,0.481660521,0.62737876,0.061845387,0
2.82853E-4,7.601864825,0.489547917,0.623695519,0.065835411,0
2.84668E-4,7.77206043,0.4917456,0.621853898,0.067830424,0
2.87873E-4,8.001453577,0.495603296,0.619398404,0.069326683,0
2.92232E-4,8.262308863,0.500802865,0.616635973,0.071820449,0
2.97537E-4,8.527750774,0.50705927,0.613873542,0.072319202,0
3.01399E-4,8.767919013,0.5115647,0.611418048,0.075810474,0
3.04571E-4,9.040911776,0.515234892,0.608655617,0.078304239,0
3.09025E-4,9.286675064,0.520340307,0.605893186,0.080798005,0
3.13898E-4,9.505330121,0.525865617,0.604051565,0.083291771,0
3.1897E-4,9.759331394,0.531548871,0.601596071,0.086284289,0
3.30886E-4,10.018181375,0.544633482,0.599140577,0.087780549,0
3.3505E-4,10.251322085,0.549118414,0.59699202,0.089775561,0
3.40281E-4,10.521070679,0.554691261,0.594536525,0.09276808,0
3.42639E-4,10.760291722,0.557181172,0.592387968,0.095760599,0
3.44657E-4,11.001001934,0.559299706,0.590239411,0.09925187,0
3.47013E-4,11.278020978,0.561762079,0.587783917,0.101745636,0
3.48894E-4,11.52170936,0.563716749,0.585635359,0.103241895,0
3.49539E-4,11.766290544,0.564385667,0.583486802,0.106234414,0
3.52055E-4,12.011629242,0.566983258,0.581338244,0.109725686,0
3.5343E-4,12.25857985,0.568396374,0.579189687,0.112718204,0
3.56689E-4,12.507595628,0.571727777,0.57704113,0.11521197,0
3.59413E-4,12.758603746,0.574491746,0.574892572,0.117705736,0
3.63204E-4,13.011461983,0.57831001,0.572744015,0.120698254,0
3.64717E-4,13.266360405,0.579823847,0.570595457,0.12319202,0
3.67021E-4,13.522573883,0.582119111,0.5684469,0.124189526,0
3.67918E-4,13.779925465,0.583009171,0.565991406,0.126184539,0
3.69507E-4,14.00116259,0.584582225,0.564456722,0.129177057,0
3.7191E-4,14.260722722,0.586948087,0.562308165,0.131670823,0
3.74197E-4,14.522044698,0.589188406,0.560159607,0.133665835,0
3.74865E-4,14.784293022,0.589840215,0.557704113,0.136658354,0
3.75977E-4,15.009562485,0.590923318,0.556169429,0.140149626,0
3.77781E-4,15.273545583,0.592673318,0.554020872,0.143142145,0
3.78364E-4,15.576181441,0.593237456,0.551565378,0.14713217,0
3.80036E-4,15.803576024,0.594850929,0.549723757,0.150124688,0
3.80877E-4,16.03192339,0.595660993,0.5475752,0.152618454,0
3.8203E-4,16.260699017,0.596767816,0.546040516,0.155610973,0
3.83293E-4,16.566809827,0.597976394,0.543585021,0.159102244,0
3.85324E-4,16.797880766,0.599912534,0.541743401,0.162094763,0
3.87198E-4,17.145576562,0.601691119,0.53898097,0.165087282,0
3.87841E-4,17.261897119,0.602299718,0.53806016,0.166084788,0
3.89068E-4,17.533902729,0.603458694,0.535911602,0.1680798,0
3.90008E-4,17.767748119,0.604343416,0.534069982,0.170573566,0
3.91922E-4,18.002320563,0.60613956,0.532228361,0.173067332,0
3.93285E-4,18.277307768,0.607413709,0.530079804,0.176558603,0
3.94516E-4,18.553142626,0.608561306,0.527931246,0.179052369,0
3.95197E-4,18.75063184,0.609194083,0.526396562,0.181546135,0
3.96939E-4,19.027902397,0.610809819,0.524248005,0.1840399,0
3.98164E-4,19.266557828,0.611941053,0.522406384,0.186034913,0
3.99384E-4,19.505838787,0.61306503,0.520564764,0.188029925,0
3.99805E-4,19.785502841,0.613452451,0.518416206,0.191521197,0
4.00355E-4,20.065623488,0.613957701,0.516267649,0.195012469,0
4.01762E-4,20.266164004,0.615246545,0.514732965,0.196508728,0
4.03247E-4,20.507608406,0.616602996,0.512891344,0.198503741,0
4.04803E-4,20.750137439,0.618017944,0.511049724,0.200997506,0
4.06977E-4,21.034788253,0.619987837,0.508901166,0.203491272,0
4.07943E-4,21.279305518,0.620859159,0.507059546,0.205985037,0
4.08894E-4,21.524397465,0.621715928,0.505217925,0.208478803,0
4.11263E-4,21.770789641,0.623840325,0.503376304,0.210972569,0
4.12055E-4,22.017764224,0.624547706,0.501534684,0.213965087,0
4.12675E-4,22.347740472,0.625100387,0.49907919,0.217955112,0
4.12909E-4,22.512864414,0.625309454,0.497851443,0.219950125,0
4.14118E-4,22.760967526,0.626384792,0.496009822,0.221446384,0
4.14739E-4,23.009688157,0.626935793,0.494168201,0.224438903,0
4.15871E-4,23.259060428,0.627938432,0.492326581,0.226932668,0
4.16913E-4,23.508903024,0.628859185,0.49048496,0.228428928,0
4.17136E-4,23.800811191,0.629055944,0.488029466,0.23042394,0
4.17868E-4,24.009532843,0.629700719,0.486801719,0.233416459,0
4.1963E-4,24.260836308,0.631248434,0.484960098,0.236408978,0
4.20164E-4,24.512858463,0.631716578,0.482811541,0.238902743,0
4.22013E-4,24.765326923,0.633331862,0.481276857,0.242394015,0
4.22543E-4,25.272166178,0.633793354,0.477593616,0.248379052,0
4.23934E-4,25.568728583,0.635002448,0.475445058,0.251371571,0
4.24783E-4,25.780907197,0.6357385,0.473910374,0.253865337,0
4.25478E-4,26.035967501,0.636339778,0.472068754,0.255860349,0
4.26011E-4,26.291478007,0.636800736,0.470227133,0.257356608,0
4.26367E-4,26.504591679,0.637107721,0.468692449,0.259850374,0
4.26878E-4,26.760556598,0.637548092,0.466850829,0.26234414,0
4.27493E-4,27.016836357,0.638078169,0.465009208,0.265336658,0
4.28154E-4,27.2734403,0.638645772,0.463167587,0.268329177,0
4.29188E-4,27.530661008,0.63953345,0.461325967,0.269825436,0
4.30555E-4,27.788611306,0.640703035,0.459484346,0.272817955,0
4.30942E-4,28.003977429,0.641033175,0.457949662,0.275311721,0
4.31246E-4,28.262610411,0.641292293,0.456108042,0.278304239,0
4.32123E-4,28.608019661,0.642040216,0.453652548,0.282294264,0
4.33074E-4,28.781119637,0.642848376,0.4524248,0.284289277,0
4.34585E-4,29.041552632,0.644128761,0.45058318,0.286284289,0
