X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,5.106165677812504E-4,87.21570819159521,0.7029767712889292
2.0,2.0,train,4.993818205524796E-4,77.77046776321217,0.6949365013446958
3.0,3.0,train,5.350113044289656E-4,97.92891917646956,0.7197130061846776
4.0,4.0,train,4.98547074406187E-4,76.52557206259395,0.6943304913860054
5.0,5.0,train,3.0499323173578E-4,9.064209723840872,0.5157209349175963
6.0,6.0,train,4.806627652884208E-4,61.2736383276065,0.681053678858694
7.0,7.0,train,5.06257418351749E-4,83.09851588232912,0.6998825697242972
8.0,8.0,train,4.8752855548400936E-4,67.50606719897716,0.6862175165160289
9.0,9.0,train,4.4637781748946477E-4,35.38385851625547,0.6539676755596167
10.0,10.0,train,4.38809625715975E-4,31.008685270168726,0.6476852723702774
11.0,11.0,train,2.89932744088089E-4,8.12471467660662,0.4980671854502564
12.0,12.0,train,3.4822901289003797E-4,11.435558571654704,0.5630266789386733
13.0,13.0,train,4.8402053150882387E-4,64.54269753992538,0.6835896239750507
14.0,14.0,train,4.5774585912371685E-4,42.267333897471204,0.6631944711286971
15.0,15.0,train,4.8059499921502185E-4,61.21304621709736,0.6810022899981728
16.0,16.0,train,4.220130718619211E-4,24.765395644589713,0.6333318616750304
17.0,17.0,train,4.438187274148967E-4,33.52335921561217,0.6518559954861265
18.0,18.0,train,4.7474315445024325E-4,53.85270074296691,0.676533304429858
19.0,19.0,train,4.5035023468885285E-4,37.57290735608565,0.6572202441923509
20.0,20.0,train,4.791837280946944E-4,59.533663939525916,0.679930200915011
21.0,21.0,train,4.4899832467704804E-4,36.93421324273332,0.6561167624766459
22.0,22.0,train,3.8138840813761694E-4,16.133395824810247,0.5961519613186859
23.0,23.0,train,3.995089787355572E-4,19.588860306833055,0.6131803206308676
24.0,24.0,train,4.3728710158920316E-4,29.796712253515647,0.6464077006113587
25.0,25.0,train,4.959537811910203E-4,73.96440881180186,0.6924401192933825
26.0,26.0,train,4.317360940561332E-4,28.45563551973253,0.6417104087281025
27.0,27.0,train,3.9810863686483956E-4,19.255771939932057,0.6118903796397954
28.0,28.0,train,3.9519654549804577E-4,18.75050003495785,0.6091940827054019
29.0,29.0,train,2.812371300692393E-4,7.517682340577686,0.4875827088526792
30.0,30.0,train,4.907140360450612E-4,71.07769228217809,0.6885848763742435
31.0,31.0,train,4.7579609568859714E-4,55.04433308688647,0.6773420172464677
32.0,32.0,train,4.997727710122964E-4,78.29826952564342,0.6952199107426462
33.0,33.0,train,5.504970848538853E-4,99.54654613728316,0.7298444222390669
34.0,34.0,train,5.254042033619429E-4,94.81012831285761,0.7132375782243322
35.0,35.0,train,4.248617135118515E-4,25.809794523995333,0.6358066912764824
36.0,36.0,train,4.547490332615258E-4,39.8804706916435,0.6607862695968019
37.0,37.0,train,4.042926353838167E-4,20.67058844360131,0.6175545890806989
38.0,38.0,train,3.9810863686483956E-4,19.255771939932057,0.6118903796397954
39.0,39.0,train,4.3097772108449385E-4,28.0343677270359,0.641063842986616
40.0,40.0,train,4.395476261966357E-4,31.3487339571019,0.648302877069143
41.0,41.0,train,4.996168832511449E-4,78.0704872792107,0.6951069355279771
42.0,42.0,train,4.7815850501322645E-4,58.14238202948351,0.6791491190877519
43.0,43.0,train,3.4767767407224606E-4,11.364131211505047,0.5624535369371004
44.0,44.0,train,4.4680126435707966E-4,35.66113606984313,0.6543158533731588
45.0,45.0,train,3.983295300083145E-4,19.299023548600637,0.6120941432831171
46.0,46.0,train,4.796729153802066E-4,60.0637297346279,0.680302225314885
47.0,47.0,train,4.4203741894683143E-4,32.770109460363294,0.6503785139619822
48.0,48.0,train,4.7815850501322645E-4,58.14238202948351,0.6791491190877519
49.0,49.0,train,3.853469020551885E-4,16.80212993798975,0.5999347325919699
50.0,50.0,train,4.382565135669015E-4,30.87637697781311,0.647221682802283
51.0,51.0,train,3.993836305655338E-4,19.505766329103803,0.6130650296443714
52.0,52.0,train,4.220130718619211E-4,24.765395644589713,0.6333318616750304
53.0,53.0,train,2.734167042622118E-4,7.113156391584683,0.4779665463171877
54.0,54.0,train,4.934140909956718E-4,72.50338962190285,0.69057749063741
55.0,55.0,train,4.7560451042580424E-4,54.52044326590429,0.6771950205729659
56.0,56.0,train,4.470236407327432E-4,35.927065655962835,0.6544985613037181
57.0,57.0,train,4.4341447460505886E-4,33.08103812594079,0.6515212422659434
58.0,58.0,train,4.8139348166100485E-4,61.63592319886495,0.6816072753686864
59.0,59.0,train,4.6518992961343557E-4,46.559725402869255,0.6691026883512576
60.0,60.0,train,5.158020524082797E-4,91.39114632204385,0.7066160021276412
61.0,61.0,train,5.429368289978976E-4,99.11886234670668,0.7249447917416816
62.0,62.0,train,4.161372402834529E-4,23.322897437191596,0.6281738358247125
63.0,63.0,train,5.344533552502226E-4,97.77413189316758,0.7193409660914007
64.0,64.0,train,4.893036975915306E-4,69.7527018074838,0.687538963715341
65.0,65.0,train,4.6489571806024603E-4,46.28059742713388,0.6688711574614672
66.0,66.0,train,5.062233242164201E-4,82.79723352616983,0.6998582424985469
67.0,67.0,train,4.491771644265457E-4,37.041606786032396,0.6562629420942868
68.0,68.0,train,4.8651603940363665E-4,66.53237570394012,0.6854612802095041
69.0,69.0,train,4.907140360450612E-4,71.07769228217809,0.6885848763742435
70.0,70.0,train,4.264904640335228E-4,26.566436026045157,0.6372141966012188
71.0,71.0,train,4.420913108565734E-4,32.78224084203063,0.6504233057037976
72.0,72.0,train,4.533982006236615E-4,39.18182586495649,0.6596951393276334
73.0,73.0,train,2.278745901943773E-4,5.018905541257673,0.4182714380460739
74.0,74.0,train,4.5201796182893543E-4,38.60650093037408,0.6585766310382377
75.0,75.0,train,4.476121390689459E-4,36.28545878862062,0.6549816149983088
76.0,76.0,train,4.146253068073128E-4,22.964152178536928,0.6268349070342756
77.0,77.0,train,4.442341430588043E-4,34.19191848545083,0.6521996574062499
78.0,78.0,train,4.201641583971958E-4,24.512880091067114,0.6317165784213213
79.0,79.0,train,4.06098928687925E-4,20.919818743463566,0.6191934030178674
80.0,80.0,train,2.7382014835432327E-4,7.13378346422163,0.4784670157058504
81.0,81.0,train,4.5201796182893543E-4,38.60650093037408,0.6585766310382377
82.0,82.0,train,2.903049821921712E-4,8.146990491495462,0.4985111807249122
83.0,83.0,train,3.4936719955709427E-4,11.701144566112237,0.5642075025986812
84.0,84.0,train,3.566891080142665E-4,12.507605581178327,0.5717277770538713
85.0,85.0,train,2.3548575285496973E-4,5.353927794192584,0.428703067514866
86.0,86.0,train,3.7834381777196555E-4,15.565704827110528,0.5932182076688064
87.0,87.0,train,3.993836305655338E-4,19.505766329103803,0.6130650296443714
88.0,88.0,train,3.614086023631686E-4,12.891709653492441,0.5765062079616015
89.0,89.0,train,4.608738423486206E-4,43.92377578909148,0.6656898350823764
90.0,90.0,train,5.006313382307575E-4,79.2712988256303,0.6958413831057784
91.0,91.0,train,4.841714554897152E-4,64.78972141499698,0.6837031342410111
92.0,92.0,train,3.932708202937671E-4,18.274446991929047,0.6074007781121802
93.0,93.0,train,5.08076367659234E-4,84.87459387888468,0.7011775919103731
94.0,94.0,train,5.105689619545657E-4,87.10294153259214,0.7029431527227663
95.0,95.0,train,4.700045188222773E-4,49.6277420850683,0.6728686284675632
96.0,96.0,train,4.7751729703515754E-4,57.047411857375984,0.6786596364383912
97.0,97.0,train,4.308197049665217E-4,27.935920045996443,0.6409289764331476
98.0,98.0,train,4.010481025898488E-4,20.164411797174992,0.6145931570676468
99.0,99.0,train,4.722048628359858E-4,51.29563018499809,0.6745754237617585
100.0,100.0,train,4.321234602919116E-4,28.60810344282844,0.6420402158864071
101.0,101.0,train,4.5529111559082915E-4,40.260300526472065,0.6612231503767179
102.0,102.0,train,4.54141196249663E-4,39.62946267076078,0.6602957250175706
103.0,103.0,train,5.007084313101824E-4,79.35008198013423,0.6958971247537171
104.0,104.0,train,5.33079209451782E-4,97.29419576572948,0.7184225795351115
105.0,105.0,train,5.033746916509936E-4,81.112086331429,0.697818673644762
106.0,106.0,train,5.146786093341285E-4,90.75648451546414,0.7058313598909112
107.0,107.0,train,4.773947511016767E-4,56.913592829200525,0.6785660028785683
108.0,108.0,train,3.810041058666266E-4,16.05714344579608,0.5957828193503638
109.0,109.0,train,4.890395838372019E-4,69.40671377665899,0.6873427057341804
110.0,110.0,train,5.308082362876015E-4,96.54901363841518,0.7168982220576423
111.0,111.0,train,4.6396604329973506E-4,45.910828202619776,0.6681384811218205
112.0,112.0,train,3.4701348077009574E-4,11.278083263000925,0.5617620791256973
113.0,113.0,train,4.681182403210386E-4,48.189297033750115,0.6713983274928126
114.0,114.0,train,4.98547074406187E-4,76.52557206259395,0.6943304913860054
115.0,115.0,train,3.5941252605710346E-4,12.758560073637849,0.5744917456335674
116.0,116.0,train,4.4188097378537554E-4,32.7187127721151,0.650248453557136
117.0,117.0,train,4.482067937707236E-4,36.53193334915186,0.6554690359868971
118.0,118.0,train,5.258835070491052E-4,95.01694105468165,0.7135641582941796
119.0,119.0,train,4.977864133257864E-4,76.17507715709723,0.6937772175311215
120.0,120.0,train,4.7412408263244627E-4,53.04632816307461,0.6760568796697355
121.0,121.0,train,5.16043285547996E-4,91.49663861052656,0.706784212567225
122.0,122.0,train,4.804141096425006E-4,61.021556598500894,0.680865075952525
123.0,123.0,train,4.883208850697933E-4,68.30242630914984,0.6868080298095317
124.0,124.0,train,4.883208850697933E-4,68.30242630914984,0.6868080298095317
125.0,125.0,train,5.05377309868117E-4,82.28897227318588,0.6992539529810655
126.0,126.0,train,4.1713630501054533E-4,23.80089816136188,0.6290559442976649
127.0,127.0,train,4.966808046760308E-4,74.53396010422635,0.69297125676001
128.0,128.0,train,3.4952941495552134E-4,11.762655936980956,0.5643755346659085
129.0,129.0,train,4.374697820389206E-4,30.30640776488993,0.6465612346413949
130.0,130.0,train,4.886133970808863E-4,68.75034106143283,0.68702575436216
131.0,131.0,train,4.4435753685335256E-4,34.36664557679869,0.6523016723299706
132.0,132.0,train,4.7327681350752747E-4,52.00643263493161,0.6754037014412102
133.0,133.0,train,4.488042883676158E-4,36.778645791012934,0.6559580912162435
134.0,134.0,train,4.7999673871541E-4,60.408682029739566,0.6805482533944495
135.0,135.0,train,4.464434158133842E-4,35.419016709274864,0.6540216365153162
136.0,136.0,train,4.679702804561852E-4,48.09653093617513,0.6712827178216081
137.0,137.0,train,3.441418919394642E-4,10.939559034864972,0.558760017592947
138.0,138.0,train,5.044453882258411E-4,81.72192596041984,0.6985868934387665
139.0,139.0,train,3.867405200253006E-4,17.060697232246973,0.6012580359570938
140.0,140.0,train,4.578870623151452E-4,42.327306031877626,0.6633075170545707
141.0,141.0,train,4.753386256066517E-4,54.08324657176352,0.6769909054790706
142.0,142.0,train,4.982633258188403E-4,76.36487666834441,0.6941242212266814
143.0,143.0,train,4.557097721523079E-4,40.76075633420862,0.6615601734222814
