x,y,species cloglog values
1.0,1.0,0.050740097
2.0,2.0,0.005273673
3.0,3.0,0.63876027
4.0,4.0,0.15339722
5.0,5.0,0.0030527697
6.0,6.0,0.0046969475
7.0,7.0,0.423898
8.0,8.0,0.006862449
9.0,9.0,0.003697555
10.0,10.0,0.0053925505
11.0,11.0,0.0032373383
12.0,12.0,0.19560829
13.0,13.0,0.0033468148
14.0,14.0,0.004564887
15.0,15.0,0.006375087
16.0,16.0,0.008946587
17.0,17.0,0.003692146
18.0,18.0,0.010921617
19.0,19.0,0.0031664586
20.0,20.0,0.39128262
21.0,21.0,0.0041468795
22.0,22.0,0.31577832
23.0,23.0,0.011675117
24.0,24.0,0.0045666914
25.0,25.0,0.36308667
26.0,26.0,0.08801714
27.0,27.0,0.63811713
28.0,28.0,0.17983675
29.0,29.0,0.22951175
30.0,30.0,0.0046913032
31.0,31.0,0.0032421697
32.0,32.0,0.24549402
33.0,33.0,0.36166283
34.0,34.0,0.012538044
35.0,35.0,0.0028420694
36.0,36.0,0.64119035
37.0,37.0,0.07790655
38.0,38.0,0.6913379
39.0,39.0,0.004137295
40.0,40.0,0.63580173
41.0,41.0,0.3930544
42.0,42.0,0.036562603
43.0,43.0,0.71678686
44.0,44.0,0.0078120297
45.0,45.0,0.26497778
46.0,46.0,0.0027890697
47.0,47.0,0.0758553
48.0,48.0,0.045883037
49.0,49.0,0.5935641
50.0,50.0,0.05456347
51.0,51.0,0.0037488858
52.0,52.0,0.6333622
53.0,53.0,0.712571
54.0,54.0,0.3730061
55.0,55.0,0.007546973
56.0,56.0,0.0029324458
57.0,57.0,0.0027740994
58.0,58.0,0.031150624
59.0,59.0,0.07976295
60.0,60.0,0.23746455
61.0,61.0,0.003840073
62.0,62.0,0.6313095
63.0,63.0,0.12789509
64.0,64.0,0.119715914
65.0,65.0,0.5338454
66.0,66.0,0.30749935
67.0,67.0,0.014176771
68.0,68.0,0.047381815
69.0,69.0,0.12351424
70.0,70.0,0.0037690927
71.0,71.0,0.065290764
72.0,72.0,0.2915898
73.0,73.0,0.6799833
74.0,74.0,0.23780678
75.0,75.0,0.42292798
76.0,76.0,0.4221863
77.0,77.0,0.30341536
78.0,78.0,0.56365526
79.0,79.0,0.45202
80.0,80.0,0.34763035
81.0,81.0,0.23717155
82.0,82.0,0.02783824
83.0,83.0,0.0025158632
84.0,84.0,0.38536176
85.0,85.0,0.00491326
86.0,86.0,0.21536231
87.0,87.0,0.3463182
88.0,88.0,0.0043910053
89.0,89.0,0.012557579
90.0,90.0,0.64361167
91.0,91.0,0.0038846123
92.0,92.0,0.74980223
93.0,93.0,0.23984003
94.0,94.0,0.0051926714
95.0,95.0,0.20729512
96.0,96.0,0.013000413
97.0,97.0,0.0037976587
98.0,98.0,0.29228038
99.0,99.0,0.0034139263
100.0,100.0,0.39676845
101.0,101.0,0.021177206
102.0,102.0,0.08923498
103.0,103.0,0.12205441
104.0,104.0,0.009103228
