Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.9652E-7,0.000019652,0.00057938,1,0,0
2.28527E-7,0.000042505,0.000673713,0.999750748,0,0
3.05247E-7,0.000073029,0.000899787,0.999501496,0,0
3.12612E-7,0.000104291,0.000921485,0.999252243,0,0
4.36014E-7,0.000290217,0.001285004,0.998005982,0,0
5.10522E-7,0.000533675,0.001504428,0.996759721,0,0
6.25943E-7,0.001059589,0.00184424,0.994516451,0,0
7.27728E-7,0.002512741,0.00214381,0.989282154,0,0
8.51434E-7,0.005054979,0.002507779,0.981306082,0,0
9.58603E-7,0.010022186,0.002822985,0.967597208,0,0
1.30896E-6,0.025114088,0.003852762,0.934197408,0,0
1.95963E-6,0.050116816,0.005762409,0.894815553,0,0
4.72355E-6,0.100377857,0.013833438,0.851944167,0,0
1.0412E-5,0.200141905,0.030238852,0.816051844,0,0
1.81905E-5,0.300778725,0.052231386,0.79885344,0,0
2.56126E-5,0.401962139,0.072750899,0.787138584,0.000405844,0
3.10156E-5,0.500640493,0.087408391,0.778414756,0.001623377,0
3.83816E-5,0.600936251,0.107018552,0.771186441,0.001623377,0
4.41397E-5,0.701513257,0.122054415,0.765204387,0.001623377,0
4.64031E-5,0.751238629,0.12789509,0.762462612,0.002029221,0
4.95122E-5,0.804179866,0.135854603,0.759720837,0.002029221,0
5.30588E-5,0.902745645,0.144845821,0.754985045,0.002435065,0
5.60864E-5,1.000994921,0.152447225,0.750498504,0.003246753,0
5.90882E-5,1.104649721,0.15991698,0.746011964,0.003246753,0
6.59135E-5,1.205290903,0.17665719,0.742023928,0.003652597,0
6.97976E-5,1.300723013,0.186034513,0.738534397,0.004058442,0
7.55929E-5,1.402038344,0.199827348,0.735044865,0.00487013,0
8.15894E-5,1.504738621,0.213853426,0.731804586,0.00487013,0
8.72647E-5,1.750047311,0.226901446,0.724576271,0.008116883,0
9.80119E-5,2.003271521,0.25101982,0.717846461,0.010146104,0
1.0745E-4,2.259544529,0.271580073,0.711615155,0.010957792,0
1.1348E-4,2.503281209,0.284418964,0.706131605,0.014204545,0
1.22368E-4,2.760959868,0.302929994,0.700648056,0.01663961,0
1.29581E-4,3.012482227,0.31760122,0.695663011,0.018262987,0
1.33987E-4,3.262539401,0.326411786,0.690927218,0.022727273,0
1.38701E-4,3.508679864,0.335710708,0.686440678,0.027191558,0
1.44046E-4,3.750092875,0.346099714,0.68220339,0.030032468,0
1.48061E-4,4.012743014,0.353795448,0.677716849,0.031655844,0
1.50413E-4,4.251022283,0.358262756,0.673728814,0.034090909,0
1.54285E-4,4.510097507,0.365548603,0.669491525,0.035308442,0
1.60668E-4,4.763615104,0.377379519,0.66550349,0.036525974,0
1.65043E-4,5.008715883,0.385361764,0.661764706,0.037337662,0
1.67592E-4,5.42567137,0.389965185,0.655284148,0.039772727,0
1.68095E-4,5.526477622,0.390868868,0.654037886,0.047483766,0
1.71926E-4,5.764090867,0.397712583,0.650548355,0.048295455,0
1.76063E-4,6.008079225,0.405015155,0.647058824,0.049512987,0
1.80482E-4,6.277312872,0.412719926,0.64332004,0.053977273,0
1.85587E-4,6.514783355,0.421493657,0.640079761,0.055600649,0
1.88494E-4,6.757494049,0.426431937,0.636839482,0.056818182,0
1.93235E-4,7.006818876,0.434396553,0.633599202,0.058847403,0
1.96652E-4,7.259969455,0.440066405,0.630358923,0.061688312,0
1.99733E-4,7.517103184,0.445132326,0.627118644,0.064935065,0
2.07067E-4,7.761809753,0.457004031,0.624127617,0.065746753,0
2.12231E-4,8.01394098,0.465210865,0.62113659,0.068993506,0
2.16237E-4,8.270592616,0.471491787,0.618145563,0.072646104,0
2.19587E-4,8.511172137,0.476686105,0.615403789,0.075892857,0
2.22001E-4,8.754298257,0.480399269,0.612662014,0.078733766,0
2.24817E-4,9.022225131,0.484695744,0.609670987,0.081168831,0
2.31567E-4,9.273070251,0.494852329,0.606929212,0.08400974,0
2.34197E-4,9.505463453,0.498755346,0.60443669,0.087256494,0
2.36916E-4,9.811829761,0.502758207,0.601196411,0.092532468,0
2.4029E-4,10.00307259,0.50768191,0.599202393,0.09375,0
2.43531E-4,10.438426429,0.512364655,0.594715852,0.100243506,0
2.44496E-4,10.511659591,0.513749988,0.593968096,0.101055195,0
2.50274E-4,10.759115334,0.521965379,0.591475573,0.102678571,0
2.53485E-4,11.010858268,0.526470936,0.588983051,0.104707792,0
2.60082E-4,11.267873787,0.535594714,0.586490528,0.105925325,0
2.65792E-4,11.505175506,0.543348954,0.584247258,0.107548701,0
2.69179E-4,11.772809845,0.547887825,0.581754736,0.109983766,0
2.71449E-4,12.043228496,0.550904825,0.579262213,0.113636364,0
2.76233E-4,12.262779216,0.557195711,0.577268195,0.115665584,0
2.79021E-4,12.512897008,0.560821465,0.575024925,0.117288961,0
2.82918E-4,12.766385778,0.565839213,0.572781655,0.119318182,0
2.8495E-4,13.022235355,0.568433212,0.570538385,0.121753247,0
2.86354E-4,13.250520159,0.570217258,0.568544367,0.124594156,0
2.89437E-4,13.509948424,0.574106986,0.566301097,0.128652597,0
2.9077E-4,13.770961647,0.575778051,0.564057827,0.131493506,0
2.93294E-4,14.004893831,0.578923938,0.562063809,0.133116883,0
2.94266E-4,14.26937333,0.580129006,0.559820538,0.13474026,0
2.98803E-4,14.506445376,0.585709017,0.55782652,0.135957792,0
3.016E-4,14.776877489,0.589112808,0.55558325,0.138392857,0
3.02101E-4,15.078904821,0.589719715,0.552841476,0.13961039,0
3.02779E-4,15.260407849,0.590538417,0.551345962,0.143262987,0
3.03688E-4,15.503197863,0.59163486,0.549601196,0.14650974,0
3.04659E-4,15.777073877,0.592802975,0.547357926,0.149350649,0
3.05283E-4,16.021001744,0.593551261,0.545363908,0.152597403,0
3.06291E-4,16.296172948,0.594757337,0.543120638,0.155844156,0
3.06568E-4,16.572060704,0.595088379,0.540877368,0.159496753,0
3.08383E-4,16.756703022,0.597249527,0.539381854,0.16112013,0
3.09435E-4,17.004082342,0.598497341,0.537387836,0.162743506,0
3.10895E-4,17.376810465,0.600222812,0.53439681,0.16599026,0
3.12087E-4,17.501540126,0.601625868,0.533399801,0.167613636,0
3.13037E-4,17.751585168,0.602739509,0.531405783,0.170048701,0
3.14183E-4,18.033883347,0.604079986,0.529162512,0.173295455,0
3.14655E-4,18.3169535,0.604630549,0.526919242,0.176948052,0
3.15177E-4,18.694710608,0.605238812,0.523928215,0.181412338,0
3.1524E-4,18.75775375,0.605312052,0.523429711,0.182224026,0
3.17659E-4,19.011243986,0.608117836,0.521435693,0.184253247,0
3.19098E-4,19.265941412,0.609777256,0.519441675,0.185470779,0
3.20086E-4,19.521684121,0.6109127,0.517447657,0.188717532,0
3.21687E-4,19.778439068,0.612745552,0.515453639,0.191558442,0
3.22615E-4,20.003991576,0.613803819,0.513708873,0.193181818,0
3.23236E-4,20.262379697,0.614510327,0.511714855,0.195211039,0
3.24165E-4,20.521341721,0.615565903,0.509720837,0.198051948,0
3.25093E-4,20.781303142,0.616615961,0.507477567,0.200487013,0
3.26458E-4,21.009646756,0.618156759,0.505982054,0.201704545,0
3.26838E-4,21.270998312,0.618584212,0.503988036,0.204951299,0
