X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.102049416269767E-4,78.28796566169747,0.7017187302272259
2.0,2.0,train,4.077074298888298E-4,75.61084756266621,0.6995136862757825
3.0,3.0,train,4.5902207562798083E-4,97.9498482679936,0.7417127559733154
4.0,4.0,train,4.001466519274484E-4,68.16794929219938,0.692738436069325
5.0,5.0,train,2.8427149585680077E-4,12.936804745733133,0.5675693350595322
6.0,6.0,train,4.043887227523968E-4,72.03058261178064,0.6965583698816699
7.0,7.0,train,4.0879459158534926E-4,76.82963027764228,0.7004755337728324
8.0,8.0,train,4.14292687704821E-4,84.03859579636377,0.7052929249065141
9.0,9.0,train,3.801380386303667E-4,49.78524675069992,0.6740623986333638
10.0,10.0,train,3.5135285190711796E-4,29.09537370058002,0.6451854862523003
11.0,11.0,train,2.6804104444292786E-4,11.682890747471692,0.5463678840253501
12.0,12.0,train,3.424018772722898E-4,25.76641514355344,0.6356947538732627
13.0,13.0,train,3.954249710663292E-4,63.27082782142486,0.6884300418377778
14.0,14.0,train,3.576592081677945E-4,32.01691154595724,0.651723277717179
15.0,15.0,train,4.0889305882107536E-4,77.11649443641905,0.7005624987495818
16.0,16.0,train,3.4383294380727465E-4,26.521269263420056,0.6372289911781652
17.0,17.0,train,3.61813619973821E-4,33.938699649008534,0.6559641939829146
18.0,18.0,train,3.8876333128906425E-4,57.0232534250337,0.6822485531868616
19.0,19.0,train,3.7736005342621314E-4,46.99128100912661,0.6713812063240118
20.0,20.0,train,4.1112271131353974E-4,79.7470069842764,0.7025249538046558
21.0,21.0,train,3.929698007502375E-4,61.258884316466535,0.6861659513393032
22.0,22.0,train,3.1036950189389305E-4,17.242654353541575,0.59960263996349
23.0,23.0,train,3.7191727845642836E-4,41.76681256341795,0.666063966204542
24.0,24.0,train,3.602546872943626E-4,33.261160710823596,0.6543788880366602
25.0,25.0,train,3.776128981947288E-4,47.35667696577034,0.67162615091513
26.0,26.0,train,3.784802125873704E-4,47.87107045715541,0.6724649794887332
27.0,27.0,train,3.140107872175927E-4,17.991461571368145,0.6038792493788914
28.0,28.0,train,3.742482642039774E-4,43.25995903214738,0.6683516417645462
29.0,29.0,train,2.4070865693739062E-4,10.05930952456248,0.5082888932403526
30.0,30.0,train,3.6426196682067213E-4,35.948133728742576,0.6584392956888959
31.0,31.0,train,3.5576004617024357E-4,31.048789990723527,0.6497671977566407
32.0,32.0,train,3.797795041652287E-4,49.2682328582599,0.6737175897988674
33.0,33.0,train,4.196154457699997E-4,87.99827776488841,0.7098828600747229
34.0,34.0,train,4.278116642155627E-4,92.25073883895998,0.7168112477682659
35.0,35.0,train,3.695851416905187E-4,40.320459757760986,0.6637593691585206
36.0,36.0,train,3.146497335699241E-4,18.31379509074715,0.6046249530401386
37.0,37.0,train,3.556508439844106E-4,30.98538188816613,0.6496543893476133
38.0,38.0,train,3.140107872175927E-4,17.991461571368145,0.6038792493788914
39.0,39.0,train,3.4942115005773586E-4,28.40343295151618,0.6431584455306766
